BRANCH,GROUP,MONTH,YEAR,CUSTOMER,Type,Item,INVOICE_DATE,Aging,Amount,,
CA77,West,6,2018,Ascend Ltd,Payment,NBV1002,6/7/2018,60+,"-1,196.35",,
CA69,West,6,2018,S.S.S. Group,AR,NBV1002,6/7/2018,Current,"1,386.90",,
MI215,Midwest,6,2018,Llorens Ltd,AR,UHY1004,6/8/2018,Current,108.54,,
CA30,West,6,2018,Avon Corp,AR,XYS1001,6/8/2018,Current,557.51,,
IL169,Midwest,6,2018,Apollo Ltd,AR,NMK1003,6/8/2018,Current,120.73,,
TX333,South,6,2018,ETUDE Ltd,AR,MKL1006,6/8/2018,Current,571.71,,
CO96,West,6,2018,"PEDIFIX, Corp",Payment,NMK1003,6/8/2018,Current,-261.3,,
OR289,West,6,2018,Pure Group,AR,PUJ1005,6/8/2018,Current,"1,168.28",,
GA140,South,6,2018,New Ltd,AR,NMK1003,6/8/2018,1-60,505.38,,
CT107,Northeast,6,2018,Avon Corp,AR,NMK1003,6/9/2018,1-60,645.08,,
TX338,South,6,2018,Wuxi Group,AR,MKL1006,6/9/2018,Current,"1,211.43",,
NC232,South,6,2018,Trigen ,AR,UHY1004,6/9/2018,1-60,212.46,,
NC231,South,6,2018,Dharma Ltd,Payment,UHY1004,6/9/2018,Current,-105.53,,
IL158,Midwest,6,2018,Llorens Ltd,Payment,NMK1003,6/9/2018,Current,-117.59,,
CA36,West,6,2018,Procter Corp,Payment,XYS1001,6/9/2018,Current,"-1,161.91",,
MA206,Northeast,6,2018,21st Ltd,AR,UHY1004,6/9/2018,Current,466.66,,
NV255,West,6,2018,OUR Ltd,AR,UHY1004,6/10/2018,Current,77.05,,
TX336,South,6,2018,E. Ltd,Payment,MKL1006,6/10/2018,Current,"-1,374.24",,
TX307,South,6,2018,Eminence Corp,Payment,PUJ1005,6/10/2018,1-60,-241.94,,
AZ9,West,6,2018,Medsep Group,Payment,XYS1001,6/10/2018,Current,"-1,906.49",,
KY200,South,6,2018,O.E. Ltd,Payment,NMK1003,6/10/2018,60+,"-1,209.35",,
TX337,South,6,2018,Niconovum Corp,AR,MKL1006,6/11/2018,Current,258.42,,
IL158,Midwest,6,2018,Wuxi Group,Payment,NMK1003,6/11/2018,1-60,"-1,167.81",,
NM249,West,6,2018,Procter Corp,Payment,UHY1004,6/11/2018,Current,-592.95,,
IN185,Midwest,6,2018,Ascend Ltd,Payment,NMK1003,6/11/2018,Current,-379.09,,
IN189,Midwest,6,2018,Ohio ,Payment,NMK1003,6/11/2018,Current,"-1,440.77",,
IL170,Midwest,6,2018,Burt's Corp,AR,NMK1003,6/11/2018,1-60,530.1,,
FL130,South,6,2018,Prasco Group,AR,NMK1003,6/11/2018,Current,162.81,,
IA149,Midwest,6,2018,Apollo Ltd,AR,NMK1003,6/12/2018,60+,"1,006.34",,
CO99,West,6,2018,Pure Group,AR,NMK1003,6/12/2018,Current,655.26,,
CA21,West,6,2018,Procter Corp,Payment,XYS1001,6/12/2018,Current,-43.15,,
CO90,West,6,2018,S.S.S. Group,Payment,NMK1003,6/12/2018,60+,"-1,158.03",,
WA360,West,6,2018,Ei ,Payment,MKL1006,6/12/2018,Current,"-1,038.37",,
CA23,West,6,2018,Niconovum Corp,AR,XYS1001,6/12/2018,1-60,361.8,,
GA144,South,6,2018,Procter Corp,Payment,NMK1003,6/12/2018,60+,-743.3,,
FL134,South,6,2018,E. Ltd,Payment,NMK1003,6/12/2018,Current,-535.46,,
IL180,Midwest,6,2018,Linde ,Payment,NMK1003,6/12/2018,1-60,"-2,656.55",,
CA58,West,6,2018,Winthrop ,AR,XYS1001,6/12/2018,Current,304.85,,
IL175,Midwest,6,2018,Ascend Ltd,Payment,NMK1003,6/13/2018,Current,-481.19,,
CO95,West,6,2018,Linde ,Payment,NMK1003,6/13/2018,Current,"-1,242.38",,
NC231,South,6,2018,OUR Ltd,Payment,UHY1004,6/13/2018,60+,"-1,443.85",,
KY199,South,6,2018,Ole Group,AR,NMK1003,6/13/2018,Current,408.3,,
CA58,West,6,2018,Procter Corp,AR,XYS1001,6/13/2018,Current,72.7,,
UT345,West,6,2018,WakeFern ,AR,MKL1006,6/13/2018,1-60,285.82,,
NH241,Northeast,6,2018,Pure Group,Payment,UHY1004,6/13/2018,Current,-440.73,,
IN186,Midwest,6,2018,Select ,AR,NMK1003,6/13/2018,Current,984.16,,
GA144,South,6,2018,Rochester Ltd,AR,NMK1003,6/13/2018,1-60,510.07,,
CA40,West,6,2018,Medline ,Payment,XYS1001,6/14/2018,Current,-857.6,,
OR288,West,6,2018,Prasco Group,AR,PUJ1005,6/14/2018,60+,"2,241.75",,
IL169,Midwest,6,2018,Ole Group,AR,NMK1003,6/14/2018,Current,636.5,,
NY277,Northeast,6,2018,Eminence Corp,Payment,PUJ1005,6/14/2018,Current,-234.5,,
MN219,Midwest,6,2018,"Elorac, Corp",Payment,UHY1004,6/14/2018,1-60,-506.52,,
TN306,South,6,2018,Prasco Group,Payment,PUJ1005,6/14/2018,1-60,-343.04,,
AZ7,West,6,2018,Apollo Ltd,AR,XYS1001,6/14/2018,Current,647.02,,
CA78,West,6,2018,Winthrop ,Payment,NBV1002,6/14/2018,Current,-683.8,,
CA28,West,6,2018,S.S.S. Group,AR,XYS1001,6/14/2018,Current,"1,466.97",,
CA39,West,6,2018,Ascend Ltd,AR,XYS1001,6/14/2018,Current,162.88,,
FL122,South,6,2018,Niconovum Corp,Payment,NMK1003,6/14/2018,Current,"-1,045.33",,
CA48,West,6,2018,Pure Group,AR,XYS1001,6/15/2018,60+,"1,763.44",,
AL1,South,6,2018,Dharma Ltd,Payment,XYS1001,6/15/2018,Current,-674.76,,
KS198,Midwest,6,2018,Procter Corp,AR,NMK1003,6/15/2018,Current,165.49,,
NJ242,Northeast,6,2018,OHTA'S Corp,AR,UHY1004,6/15/2018,1-60,390.21,,
KY200,South,6,2018,Ohio ,Payment,NMK1003,6/15/2018,60+,-259.69,,
TN304,South,6,2018,Bare ,AR,PUJ1005,6/15/2018,Current,278.59,,
CA31,West,6,2018,"PEDIFIX, Corp",AR,XYS1001,6/15/2018,Current,148.94,,
CA71,West,6,2018,Niconovum Corp,Payment,NBV1002,6/15/2018,60+,"-1,639.96",,
NV250,West,6,2018,OHTA'S Corp,AR,UHY1004,6/15/2018,1-60,300.29,,
IL167,Midwest,6,2018,Eminence Corp,AR,NMK1003,6/15/2018,1-60,789.93,,
FL132,South,6,2018,Medsep Group,AR,NMK1003,6/15/2018,Current,386.99,,
CA56,West,6,2018,Burt's Corp,AR,XYS1001,6/15/2018,1-60,"1,774.56",,
NY259,Northeast,6,2018,Apollo Ltd,AR,UHY1004,6/15/2018,1-60,"1,639.96",,
TX341,South,6,2018,Sundial ,Payment,MKL1006,6/16/2018,Current,-637.1,,
KS195,Midwest,6,2018,New Ltd,AR,NMK1003,6/16/2018,Current,280.06,,
CA33,West,6,2018,WakeFern ,Payment,XYS1001,6/16/2018,Current,-524.34,,
OH279,Midwest,6,2018,Eminence Corp,AR,PUJ1005,6/16/2018,1-60,178.22,,
IA148,Midwest,6,2018,Dharma Ltd,AR,NMK1003,6/16/2018,Current,234.77,,
IL170,Midwest,6,2018,Niconovum Corp,AR,NMK1003,6/16/2018,Current,"2,288.85",,
IN181,Midwest,6,2018,Wuxi Group,AR,NMK1003,6/16/2018,Current,376.94,,
CA77,West,6,2018,Ohio ,Payment,NBV1002,6/17/2018,Current,"-3,024.11",,
FL122,South,6,2018,"Exact-Rx, Corp",AR,NMK1003,6/17/2018,Current,436.84,,
CA36,West,6,2018,Llorens Ltd,AR,XYS1001,6/17/2018,60+,428.8,,
MI217,Midwest,6,2018,OUR Ltd,Payment,UHY1004,6/17/2018,Current,"-1,366.80",,
CA63,West,6,2018,AuroMedics Corp,Payment,NBV1002,6/17/2018,60+,-315.17,,
TX341,South,6,2018,Sundial ,AR,MKL1006,6/17/2018,Current,127.57,,
CA36,West,6,2018,Pure Group,AR,XYS1001,6/17/2018,Current,678.84,,
IL163,Midwest,6,2018,Prasco Group,Payment,NMK1003,6/17/2018,Current,-35.38,,
CO101,West,6,2018,Ohio ,Payment,NMK1003,6/18/2018,Current,-537.07,,
TX321,South,6,2018,Amylin Group,AR,PUJ1005,6/18/2018,Current,544.58,,
NY276,Northeast,6,2018,Ei ,AR,PUJ1005,6/18/2018,Current,384.92,,
CO101,West,6,2018,Capweld ,AR,NMK1003,6/18/2018,Current,95.07,,
NM248,West,6,2018,Dharma Ltd,AR,UHY1004,6/18/2018,Current,801.99,,
CO95,West,6,2018,Weimei Corp,AR,NMK1003,6/18/2018,60+,"1,201.98",,
CA33,West,6,2018,Dharma Ltd,AR,XYS1001,6/18/2018,Current,882.52,,
AZ12,West,6,2018,Capweld ,Payment,XYS1001,6/18/2018,60+,-446.22,,
FL119,South,6,2018,Mylan Corp,AR,NMK1003,6/18/2018,Current,592.95,,
OR290,West,6,2018,Medline ,AR,PUJ1005,6/18/2018,Current,754.15,,
CT110,Northeast,6,2018,Uriel Group,Payment,NMK1003,6/18/2018,Current,-453.26,,
CA87,West,6,2018,Prasco Group,Payment,NBV1002,6/19/2018,1-60,-821.09,,
IL177,Midwest,6,2018,Amylin Group,AR,NMK1003,6/19/2018,1-60,268.54,,
CO94,West,6,2018,Nipro ,AR,NMK1003,6/19/2018,Current,280.4,,
FL126,South,6,2018,Qualitest ,AR,NMK1003,6/19/2018,60+,"2,023.94",,
CA17,West,6,2018,"3LAB, Ltd",AR,XYS1001,6/19/2018,1-60,502.5,,
IL178,Midwest,6,2018,Rochester Ltd,AR,NMK1003,6/19/2018,60+,633.62,,
CA76,West,6,2018,Medsep Group,AR,NBV1002,6/19/2018,60+,303.91,,
TX318,South,6,2018,Wuxi Group,AR,PUJ1005,6/19/2018,Current,52.06,,
MI217,Midwest,6,2018,Medline ,AR,UHY1004,6/19/2018,60+,34.84,,
OH278,Midwest,6,2018,S.S.S. Group,AR,PUJ1005,6/20/2018,Current,317.78,,
TX341,South,6,2018,Qualitest ,AR,MKL1006,6/20/2018,1-60,767.15,,
FL122,South,6,2018,Winthrop ,Payment,NMK1003,6/20/2018,Current,-125.42,,
KY200,South,6,2018,Burt's Corp,AR,NMK1003,6/20/2018,Current,34.84,,
CA30,West,6,2018,21st Ltd,AR,XYS1001,6/20/2018,Current,701.62,,
NC233,South,6,2018,Amylin Group,AR,UHY1004,6/20/2018,Current,961.85,,
IL151,Midwest,6,2018,Ascend Ltd,Payment,NMK1003,6/20/2018,Current,-774.52,,
VA353,South,6,2018,Uriel Group,AR,MKL1006,6/21/2018,1-60,502.37,,
CA43,West,6,2018,Select ,Payment,XYS1001,6/21/2018,Current,-205.02,,
TX339,South,6,2018,Ei ,AR,MKL1006,6/21/2018,Current,603,,
MT228,West,6,2018,Weimei Corp,Payment,UHY1004,6/21/2018,Current,-323.74,,
FL128,South,6,2018,Apollo Ltd,Payment,NMK1003,6/21/2018,Current,-525.28,,
CA55,West,6,2018,"Fenwal, Corp",Payment,XYS1001,6/21/2018,Current,"-1,514.00",,
IL177,Midwest,6,2018,ETUDE Ltd,AR,NMK1003,6/22/2018,Current,496.47,,
CA81,West,6,2018,ETUDE Ltd,AR,NBV1002,6/22/2018,Current,696,,
WI365,Midwest,6,2018,Select ,AR,MKL1006,6/22/2018,Current,422.1,,
CA48,West,6,2018,Qualitest ,Payment,XYS1001,6/22/2018,60+,-369.24,,
AZ11,West,6,2018,Burt's Corp,AR,XYS1001,6/22/2018,Current,598.98,,
FL127,South,6,2018,"PEDIFIX, Corp",AR,NMK1003,6/22/2018,Current,319.59,,
LA201,South,6,2018,"PEDIFIX, Corp",Payment,NMK1003,6/22/2018,Current,"-2,188.89",,
TX339,South,6,2018,Ei ,AR,MKL1006,6/22/2018,1-60,584.31,,
KS198,Midwest,6,2018,"Elorac, Corp",AR,NMK1003,6/22/2018,1-60,"1,209.22",,
ID150,West,6,2018,O.E. Ltd,Payment,NMK1003,6/22/2018,1-60,"-1,559.83",,
TX311,South,6,2018,Wuxi Group,Payment,PUJ1005,6/23/2018,Current,"-1,060.88",,
TN304,South,6,2018,"Apotheca, Ltd",AR,PUJ1005,6/23/2018,Current,171.52,,
NJ247,Northeast,6,2018,Apollo Ltd,AR,UHY1004,6/23/2018,60+,711,,
NY265,Northeast,6,2018,Burt's Corp,AR,PUJ1005,6/23/2018,Current,"1,871.71",,
WI366,Midwest,6,2018,Ascend Ltd,AR,MKL1006,6/24/2018,Current,"1,664.88",,
FL125,South,6,2018,Ascend Ltd,Payment,NMK1003,6/24/2018,Current,-482.4,,
IN182,Midwest,6,2018,Pacific Ltd,Payment,NMK1003,6/24/2018,Current,"-1,219.40",,
IL152,Midwest,6,2018,U.S. Ltd,AR,NMK1003,6/25/2018,1-60,"1,301.27",,
NV256,West,6,2018,Ascend Ltd,AR,UHY1004,6/25/2018,1-60,241.74,,
CA66,West,6,2018,Procter Corp,Payment,NBV1002,6/25/2018,Current,-932.37,,
IL156,Midwest,6,2018,OHTA'S Corp,Payment,NMK1003,6/25/2018,Current,"-1,286.60",,
KY200,South,6,2018,O.E. Ltd,Payment,NMK1003,6/26/2018,60+,"-1,117.83",,
SC299,South,6,2018,Avon Corp,Payment,PUJ1005,6/26/2018,Current,-571.71,,
KY199,South,6,2018,Capweld ,Payment,NMK1003,6/26/2018,Current,-512.15,,
IL157,Midwest,6,2018,Ohio ,Payment,NMK1003,6/26/2018,Current,-337.68,,
IN187,Midwest,6,2018,Linde ,AR,NMK1003,6/26/2018,1-60,342.71,,
CA84,West,6,2018,Sundial ,Payment,NBV1002,6/26/2018,Current,-938.27,,
MT228,West,6,2018,Weimei Corp,AR,UHY1004,6/26/2018,1-60,132.12,,
IL180,Midwest,6,2018,Amylin Group,AR,NMK1003,6/26/2018,Current,43.55,,
NV250,West,6,2018,Ohio ,AR,UHY1004,6/26/2018,Current,607.22,,
TX326,South,6,2018,AuroMedics Corp,AR,PUJ1005,6/26/2018,Current,441.93,,
FL136,South,6,2018,Linde ,AR,NMK1003,6/27/2018,Current,"1,969.80",,
CT112,Northeast,6,2018,Eminence Corp,AR,NMK1003,6/27/2018,60+,"1,296.45",,
CT108,Northeast,6,2018,Capweld ,AR,NMK1003,6/27/2018,60+,"1,849.20",,
CA56,West,6,2018,"Fenwal, Corp",Payment,XYS1001,6/27/2018,Current,-592.28,,
KS195,Midwest,6,2018,New Ltd,AR,NMK1003,6/27/2018,Current,478.65,,
CA82,West,6,2018,Trigen ,AR,NBV1002,6/27/2018,Current,488.97,,
MI215,Midwest,6,2018,Eminence Corp,AR,UHY1004,6/27/2018,60+,"1,398.96",,
FL134,South,6,2018,"PEDIFIX, Corp",AR,NMK1003,6/27/2018,Current,421.43,,
TX322,South,6,2018,21st Ltd,Payment,PUJ1005,6/27/2018,Current,-626.05,,
IL176,Midwest,6,2018,ETUDE Ltd,Payment,NMK1003,6/27/2018,Current,-355.97,,
CA70,West,6,2018,Capweld ,AR,NBV1002,6/27/2018,Current,266.79,,
NV252,West,6,2018,"Fenwal, Corp",Payment,UHY1004,6/27/2018,Current,-156.51,,
NY275,Northeast,6,2018,Dharma Ltd,AR,PUJ1005,6/27/2018,Current,54,,
MO226,Midwest,6,2018,Prasco Group,Payment,UHY1004,6/27/2018,Current,-495.26,,
OR288,West,6,2018,Bare ,Payment,PUJ1005,6/28/2018,60+,-596.57,,
CA60,West,6,2018,Apollo Ltd,Payment,NBV1002,6/28/2018,1-60,"-1,167.81",,
SC297,South,6,2018,Qualitest ,Payment,PUJ1005,6/28/2018,Current,-87.23,,
CA75,West,6,2018,Pacific Ltd,AR,NBV1002,6/28/2018,Current,237.18,,
VA352,South,6,2018,Rochester Ltd,AR,MKL1006,6/28/2018,Current,956.89,,
CA25,West,6,2018,Mylan Corp,AR,XYS1001,6/28/2018,Current,619.08,,
CA23,West,6,2018,New Ltd,Payment,XYS1001,6/28/2018,60+,"-3,571.90",,
OR292,West,6,2018,Mylan Corp,AR,PUJ1005,6/28/2018,Current,782.16,,
GA140,South,6,2018,Bare ,AR,NMK1003,6/28/2018,60+,825.04,,
IL171,Midwest,6,2018,Dharma Ltd,Payment,NMK1003,6/28/2018,Current,-398.65,,
CA44,West,6,2018,U.S. Ltd,AR,XYS1001,6/28/2018,Current,"1,600.90",,
CA43,West,6,2018,Trigen ,Payment,XYS1001,6/28/2018,Current,"-1,137.86",,
CA64,West,6,2018,E. Ltd,AR,NBV1002,6/28/2018,Current,619.75,,
CA18,West,6,2018,Amylin Group,AR,XYS1001,6/29/2018,Current,"1,597.95",,
NY263,Northeast,6,2018,ETUDE Ltd,Payment,PUJ1005,6/29/2018,1-60,-478.38,,
KS196,Midwest,6,2018,Ascend Ltd,Payment,NMK1003,6/29/2018,Current,-905.17,,
MA206,Northeast,6,2018,O.E. Ltd,AR,UHY1004,6/29/2018,60+,"2,027.69",,
CA80,West,6,2018,Prasco Group,AR,NBV1002,6/29/2018,Current,352.02,,
IL172,Midwest,6,2018,Medsep Group,AR,NMK1003,6/30/2018,Current,"2,131.00",,
NY274,Northeast,6,2018,Medline ,AR,PUJ1005,6/30/2018,Current,338.08,,
NY277,Northeast,6,2018,Pure Group,Payment,PUJ1005,6/30/2018,Current,-428.93,,
IA147,Midwest,6,2018,Select ,AR,NMK1003,6/30/2018,Current,994.95,,
TX332,South,6,2018,"Elorac, Corp",AR,MKL1006,6/30/2018,Current,816.26,,
NY274,Northeast,6,2018,Mylan Corp,Payment,PUJ1005,6/30/2018,60+,-611.04,,
CA33,West,6,2018,Ascend Ltd,AR,XYS1001,6/30/2018,1-60,"1,627.30",,
NC233,South,6,2018,Weimei Corp,AR,UHY1004,6/30/2018,Current,469.6,,
NY262,Northeast,6,2018,Pure Group,AR,PUJ1005,6/30/2018,Current,612.05,,
AZ6,West,6,2018,Bare ,Payment,XYS1001,6/30/2018,60+,-151.49,,
IL159,Midwest,6,2018,Weimei Corp,AR,NMK1003,6/30/2018,1-60,"1,571.82",,
IA148,Midwest,6,2018,OUR Ltd,AR,NMK1003,6/30/2018,Current,348.94,,
CO102,West,6,2018,U.S. Ltd,AR,NMK1003,6/30/2018,Current,601.39,,
WA362,West,7,2018,Winthrop ,Payment,MKL1006,7/1/2018,Current,-309.88,,
PA295,Northeast,7,2018,Ohio ,Payment,PUJ1005,7/1/2018,Current,-257.95,,
NV256,West,7,2018,New Ltd,Payment,UHY1004,7/1/2018,Current,-930.23,,
IL154,Midwest,7,2018,"Fenwal, Corp",AR,NMK1003,7/1/2018,Current,648.83,,
NY270,Northeast,7,2018,Select ,Payment,PUJ1005,7/1/2018,60+,-264.78,,
CO102,West,7,2018,Amylin Group,Payment,NMK1003,7/1/2018,Current,"-2,131.00",,
FL131,South,7,2018,Ohio ,AR,NMK1003,7/1/2018,Current,"1,857.91",,
IL160,Midwest,7,2018,Avon Corp,AR,NMK1003,7/2/2018,Current,"1,682.57",,
UT347,West,7,2018,Ei ,Payment,MKL1006,7/2/2018,Current,"-1,804.18",,
CA45,West,7,2018,Ei ,AR,XYS1001,7/2/2018,1-60,300.7,,
ND238,Midwest,7,2018,Mylan Corp,AR,UHY1004,7/2/2018,Current,524.61,,
FL128,South,7,2018,Ohio ,Payment,NMK1003,7/2/2018,Current,-501.16,,
CA39,West,7,2018,"PEDIFIX, Corp",Payment,XYS1001,7/2/2018,Current,-93.4,,
CA69,West,7,2018,Linde ,AR,NBV1002,7/2/2018,60+,137.48,,
CA29,West,7,2018,Trigen ,Payment,XYS1001,7/2/2018,1-60,-239.19,,
IL159,Midwest,7,2018,"Exact-Rx, Corp",AR,NMK1003,7/3/2018,Current,"1,685.39",,
VA353,South,7,2018,Prasco Group,Payment,MKL1006,7/3/2018,Current,-305.79,,
KY199,South,7,2018,21st Ltd,AR,NMK1003,7/4/2018,Current,388.33,,
IN182,Midwest,7,2018,Nipro ,Payment,NMK1003,7/4/2018,1-60,-224.05,,
WA358,West,7,2018,Qualitest ,AR,MKL1006,7/4/2018,Current,483,,
CA80,West,7,2018,Pure Group,AR,NBV1002,7/4/2018,Current,406.22,,
GA140,South,7,2018,Victory Ltd,Payment,NMK1003,7/4/2018,Current,"-1,385.90",,
HI146,West,7,2018,Apollo Ltd,AR,NMK1003,7/4/2018,Current,97.15,,
CT104,Northeast,7,2018,E. Ltd,Payment,NMK1003,7/4/2018,Current,"-1,897.57",,
IN185,Midwest,7,2018,Medline ,AR,NMK1003,7/4/2018,Current,"2,681.07",,
CA51,West,7,2018,Winthrop ,AR,XYS1001,7/4/2018,Current,246.02,,
IN190,Midwest,7,2018,Uriel Group,AR,NMK1003,7/4/2018,Current,365.82,,
VA355,South,7,2018,Qualitest ,Payment,MKL1006,7/4/2018,60+,-240.4,,
LA205,South,7,2018,Pacific Ltd,Payment,UHY1004,7/4/2018,Current,-55.28,,
TX334,South,7,2018,Winthrop ,Payment,MKL1006,7/4/2018,Current,-344.38,,
NJ242,Northeast,7,2018,S.S.S. Group,Payment,UHY1004,7/5/2018,Current,-209.78,,
IL162,Midwest,7,2018,Niconovum Corp,AR,NMK1003,7/5/2018,1-60,85.43,,
NV255,West,7,2018,Mylan Corp,AR,UHY1004,7/5/2018,Current,223.78,,
CA24,West,7,2018,Pure Group,Payment,XYS1001,7/5/2018,Current,-205.02,,
OH278,Midwest,7,2018,Winthrop ,AR,PUJ1005,7/5/2018,1-60,996.76,,
NY258,Northeast,7,2018,Ole Group,AR,UHY1004,7/5/2018,Current,587.72,,
IN183,Midwest,7,2018,Ole Group,Payment,NMK1003,7/5/2018,Current,-611.71,,
